"id","y_2011","y_2012","y_2013","y_2014","y_2015"
37081010100,91,47,42,40,35
37081010200,477,613,500,480,440
37081010300,31,50,67,101,122
37081010401,529,492,488,484,481
37081010403,378,381,489,512,457
37081010404,874,862,918,942,853
37081010500,593,669,621,727,737
37081010601,622,523,483,410,447
37081010602,565,564,600,745,674
37081010701,471,441,449,437,493
37081010702,232,207,264,289,276
37081010800,503,459,400,501,595
37081010900,359,266,275,284,368
37081011000,80,83,82,84,101
37081011101,224,231,265,294,206
37081011102,234,263,234,249,215
37081011200,300,328,436,372,382
37081011300,254,262,250,218,250
37081011400,75,95,95,124,177
37081011500,195,157,143,126,114
37081011601,177,91,73,99,160
37081011602,161,140,177,122,201
37081011904,265,248,280,328,356
37081011905,321,293,268,203,266
37081012503,977,1097,967,1104,1014
37081012504,458,505,459,493,516
37081012505,1285,1329,1307,1348,1329
37081012508,529,555,602,590,598
37081012509,656,611,662,587,628
37081012510,732,692,728,849,789
37081012511,1605,1662,1452,1277,1348
37081012601,596,690,687,607,698
37081012604,190,285,246,236,217
37081012607,538,560,516,446,384
37081012608,129,155,144,107,109
37081012609,600,815,813,930,965
37081012610,374,247,314,370,356
37081012611,237,350,415,396,410
37081012612,415,593,759,761,824
37081012617,203,309,367,349,394
37081012703,826,984,1238,1089,1077
37081012704,170,225,241,177,187
37081012705,228,266,241,258,273
37081012706,122,104,114,146,151
37081012707,206,175,159,203,142
37081012803,803,923,1052,1009,1098
37081012804,531,535,463,487,431
37081012805,157,281,303,328,345
37081013601,19,15,16,14,36
37081013602,330,340,363,447,421
37081013700,1125,1105,1144,1024,929
37081013800,113,86,81,116,199
37081013900,121,156,133,106,76
37081014000,247,245,172,165,156
37081014200,73,67,49,77,116
37081014300,35,38,57,96,175
37081014406,173,140,62,62,64
37081014407,962,1028,1072,1036,1079
37081014408,103,139,163,152,176
37081014409,351,361,215,255,278
37081014410,453,402,379,421,400
37081014411,453,449,331,278,300
37081014412,353,353,400,407,423
37081014501,31,6,11,0,8
37081014502,148,123,124,171,291
37081014503,51,48,43,36,75
37081015100,329,344,319,382,407
37081015200,895,1000,971,873,940
37081015300,795,890,1044,1037,1022
37081015401,668,672,594,641,651
37081015402,534,605,631,581,403
37081015500,414,568,658,791,729
37081015600,1377,1314,1557,1419,1710
37081015703,1215,1151,1155,1343,1332
37081015704,1268,1264,1437,1547,1433
37081015705,814,627,721,709,716
37081015706,1331,1245,1239,1159,1059
37081015707,1170,1173,1330,1480,1641
37081015800,1835,1921,1793,1793,1781
37081015901,535,566,586,583,617
37081015902,577,626,618,591,655
37081016003,982,963,947,1069,1046
37081016005,263,367,331,366,457
37081016006,769,978,940,854,1156
37081016007,1382,1369,1420,1385,1248
37081016008,1738,1655,1679,1829,1953
37081016009,1111,1161,937,973,828
37081016010,539,505,457,519,495
37081016011,752,765,834,1134,1050
37081016101,932,986,1016,1090,1142
37081016102,457,600,456,477,549
37081016103,991,973,969,915,809
37081016201,851,970,976,938,1066
37081016203,748,751,856,884,890
37081016204,684,759,713,745,782
37081016205,727,728,758,790,892
37081016303,638,566,604,648,655
37081016304,1118,1035,1032,1151,1099
37081016305,876,925,819,924,915
37081016306,919,1054,1090,1016,1087
37081016405,162,201,206,316,291
37081016406,598,510,555,664,542
37081016407,1059,901,1038,1005,1135
37081016408,566,523,594,570,645
37081016409,661,672,669,694,737
37081016410,889,970,1068,935,829
37081016502,1444,1470,1530,1522,1553
37081016503,682,594,601,598,557
37081016505,1316,1260,1248,1453,1678
37081016506,1195,1234,1060,1000,1042
37081016600,95,75,134,189,265
37081016701,757,621,634,453,442
37081016702,280,361,317,324,325
37081016800,418,505,689,743,765
37081016900,558,437,410,393,366
37081017000,402,447,457,411,536
37081017100,1630,1506,1179,1277,1151
37081017200,888,979,993,852,922
37081980100,0,0,0,0,0
