id,y_2011,y_2012,y_2013,y_2014,y_2015
37081010100,1469,1673,1546,1694,1811
37081010200,4374,4432,4549,4474,4407
37081010300,2180,2289,2599,2629,2705
37081010401,1646,1622,1670,1639,1579
37081010403,1496,1406,1587,1617,1641
37081010404,2673,2835,2718,2687,2647
37081010500,2385,2238,2060,2253,2336
37081010601,2818,2879,2975,2912,2984
37081010602,3946,4064,3842,4041,3752
37081010701,1556,1460,1597,1634,1846
37081010702,5457,5048,4977,4799,4751
37081010800,1766,1937,2101,2407,2661
37081010900,2294,2053,1985,2119,2111
37081011000,3735,3820,4119,4324,4723
37081011101,3952,4451,4491,4475,4335
37081011102,2932,3220,3124,2972,2969
37081011200,4586,4765,4923,4813,4850
37081011300,3135,3074,3007,3077,3166
37081011400,4360,4327,4627,4796,4944
37081011500,2756,2550,2680,2335,2280
37081011601,2452,2442,2225,2365,2547
37081011602,3495,3352,3417,3178,3465
37081011904,3637,3852,4295,4650,4591
37081011905,5153,4934,4516,4497,4473
37081012503,4622,4862,4676,4615,4491
37081012504,3557,3700,3512,3518,3639
37081012505,4260,4278,4466,4627,4551
37081012508,3468,3301,3330,3318,3294
37081012509,2175,2221,2213,2210,2318
37081012510,3245,3238,3224,3243,3169
37081012511,4862,5031,4817,4886,4984
37081012601,5344,5735,5639,5793,5932
37081012604,5148,5356,5815,5436,5339
37081012607,2578,2339,2331,2271,2250
37081012608,3085,2995,3188,2938,2792
37081012609,6667,6923,7296,7639,8310
37081012610,3351,3180,3149,3083,3344
37081012611,3408,3304,3248,3702,3920
37081012612,5848,5828,5978,6458,6402
37081012617,3484,3452,3386,3229,3427
37081012703,5121,4936,5612,4824,4644
37081012704,3046,3544,3377,3569,3591
37081012705,4511,4326,4161,3964,3487
37081012706,3004,2932,3262,3233,3221
37081012707,2329,2056,2401,2402,2388
37081012803,6766,7052,7171,7610,7744
37081012804,3651,3843,3789,3924,4178
37081012805,2601,2478,2694,2939,3153
37081013601,2502,2627,2641,2609,2557
37081013602,4551,4385,4449,4158,3797
37081013700,4072,4019,4018,4031,3997
37081013800,4358,4331,4156,4483,4285
37081013900,4299,4601,4732,4444,4691
37081014000,3281,3022,3263,3447,3459
37081014200,3400,3634,3660,3611,3747
37081014300,2932,2885,2551,2738,2954
37081014406,2469,2531,2449,2294,2354
37081014407,5209,5462,5717,5998,6393
37081014408,2423,2455,2392,2443,2400
37081014409,3229,3040,2954,2990,3021
37081014410,4011,3931,3848,3965,3924
37081014411,4961,4960,5093,5105,5216
37081014412,2185,2195,2446,2417,2492
37081014501,1315,1315,1378,1358,1405
37081014502,4990,4631,4702,4527,4800
37081014503,3343,3366,3503,3677,3729
37081015100,4378,4207,4247,4447,4310
37081015200,7825,8321,8479,8823,9087
37081015300,7582,7896,7895,8020,8362
37081015401,5251,5131,5258,5427,5492
37081015402,6963,7273,7863,8651,8514
37081015500,6781,7131,6692,7076,6674
37081015600,9334,9390,9858,9852,10053
37081015703,5365,5722,5803,6323,6352
37081015704,6156,6197,6468,6557,6545
37081015705,3322,2991,3164,3146,3211
37081015706,6008,6031,5889,5537,5720
37081015707,6898,6897,6959,6828,6891
37081015800,7444,7824,7715,7909,8011
37081015901,5397,5626,5295,5419,5229
37081015902,3518,3620,3779,3945,3939
37081016003,4077,4186,4167,4268,4620
37081016005,1648,1612,1711,1756,1790
37081016006,2648,3315,3474,3560,3905
37081016007,5098,4890,5494,5540,5193
37081016008,6883,6827,6811,7068,7036
37081016009,3751,3732,3874,3787,3829
37081016010,2816,2874,2743,2907,2571
37081016011,4843,5535,5703,6119,5990
37081016101,5443,5529,5482,5286,5215
37081016102,3478,3660,3694,3818,4344
37081016103,5357,4870,5171,5139,5074
37081016201,5455,5407,5525,5624,5775
37081016203,3724,3911,4218,4062,3997
37081016204,3157,3171,3164,3246,3343
37081016205,3248,3940,3728,3846,3944
37081016303,3524,3831,3726,3672,3468
37081016304,3775,3772,3765,3806,3714
37081016305,3302,3419,3263,3329,3344
37081016306,4606,4585,4814,5009,5018
37081016405,1775,1621,1743,1752,1784
37081016406,2948,2955,3231,3289,3594
37081016407,4285,4446,4772,4869,4894
37081016408,1917,1920,1901,1830,1902
37081016409,2659,2593,2289,2516,2712
37081016410,6067,6229,6219,6346,6269
37081016502,6094,6041,6108,6079,5935
37081016503,3380,3508,3932,4095,4371
37081016505,4495,4809,4785,5419,5838
37081016506,5315,5421,5011,4925,4712
37081016600,2256,2145,2311,2340,2602
37081016701,4821,5266,5512,5350,5617
37081016702,3796,4122,3524,3386,3297
37081016800,6827,7084,6832,6783,6854
37081016900,4815,4688,4452,4413,4076
37081017000,4375,4466,4496,4119,4480
37081017100,6943,6898,7083,6797,6897
37081017200,7344,7018,6917,6676,7006
37081980100,0,0,0,0,0
