"id","y_2011","y_2012","y_2013","y_2014","y_2015"
37081010100,176,251,249,298,251
37081010200,702,445,606,641,677
37081010300,237,265,270,383,328
37081010401,223,207,236,181,166
37081010403,312,253,314,307,308
37081010404,194,229,219,171,158
37081010500,487,372,242,227,259
37081010601,335,368,386,384,489
37081010602,575,505,487,485,488
37081010701,179,192,150,186,119
37081010702,86,82,98,127,140
37081010800,332,350,323,390,374
37081010900,293,274,266,323,279
37081011000,274,274,262,220,167
37081011101,552,671,645,657,690
37081011102,533,641,619,566,600
37081011200,455,428,532,686,805
37081011300,518,675,727,731,728
37081011400,588,530,660,673,715
37081011500,301,335,485,430,450
37081011601,399,395,420,388,339
37081011602,242,271,367,469,464
37081011904,592,674,868,992,902
37081011905,657,824,876,850,833
37081012503,557,542,529,459,594
37081012504,546,495,510,521,513
37081012505,456,503,509,578,519
37081012508,635,702,696,692,765
37081012509,333,346,281,299,341
37081012510,390,364,409,347,255
37081012511,603,631,717,676,678
37081012601,1011,1196,972,1013,1113
37081012604,827,840,1009,979,1103
37081012607,441,379,286,289,339
37081012608,259,241,285,357,306
37081012609,977,970,1013,1146,1076
37081012610,248,289,200,269,420
37081012611,382,357,375,381,498
37081012612,884,822,833,1032,893
37081012617,560,507,480,410,511
37081012703,594,591,615,539,492
37081012704,347,337,354,249,324
37081012705,836,782,729,623,639
37081012706,553,590,648,493,471
37081012707,213,283,313,327,334
37081012803,1130,1188,918,1039,1142
37081012804,589,595,675,634,710
37081012805,313,344,430,394,459
37081013601,133,184,169,146,107
37081013602,675,684,700,715,724
37081013700,473,577,531,625,684
37081013800,626,798,702,707,696
37081013900,454,431,454,520,596
37081014000,322,263,315,290,333
37081014200,389,444,429,411,456
37081014300,163,178,160,309,277
37081014406,441,453,527,458,456
37081014407,794,855,1036,965,933
37081014408,377,309,310,292,276
37081014409,470,457,639,569,559
37081014410,692,733,716,809,904
37081014411,752,872,951,911,781
37081014412,301,466,488,475,413
37081014501,175,218,164,126,146
37081014502,600,628,704,691,656
37081014503,307,366,434,435,457
37081015100,510,649,632,632,612
37081015200,916,1084,1213,1336,1530
37081015300,1333,1392,1338,1264,1350
37081015401,1209,1174,1023,984,984
37081015402,814,1075,1192,1230,1298
37081015500,1026,1021,921,989,1063
37081015600,1561,1362,1183,1244,1197
37081015703,600,771,952,1031,1027
37081015704,713,632,655,658,902
37081015705,409,445,560,548,527
37081015706,689,693,587,672,565
37081015707,1236,1225,1042,985,1006
37081015800,726,823,990,877,921
37081015901,887,818,646,601,550
37081015902,579,619,563,490,475
37081016003,386,426,489,481,656
37081016005,420,259,380,417,215
37081016006,528,508,579,627,697
37081016007,955,933,1062,1006,980
37081016008,787,767,814,751,750
37081016009,454,502,636,603,617
37081016010,463,521,481,457,448
37081016011,764,960,1188,1256,1394
37081016101,684,658,766,655,590
37081016102,497,386,523,491,505
37081016103,686,606,537,505,644
37081016201,639,659,665,640,665
37081016203,633,718,740,541,636
37081016204,362,357,368,311,286
37081016205,416,696,633,767,736
37081016303,643,857,782,768,728
37081016304,498,567,574,531,556
37081016305,409,461,414,300,349
37081016306,746,682,808,871,708
37081016405,373,393,346,372,398
37081016406,633,648,584,583,727
37081016407,515,630,594,654,710
37081016408,253,286,317,270,240
37081016409,454,462,298,258,338
37081016410,714,757,676,962,952
37081016502,1045,795,799,868,805
37081016503,534,716,666,646,801
37081016505,765,781,799,749,983
37081016506,529,583,673,729,717
37081016600,268,303,369,381,486
37081016701,614,881,970,866,897
37081016702,496,521,415,288,322
37081016800,1040,1074,1078,1100,1035
37081016900,851,713,682,602,619
37081017000,553,558,537,442,531
37081017100,990,1184,1378,1365,1300
37081017200,1004,989,839,783,849
37081980100,0,0,0,0,0
