"id","y_2011","y_2012","y_2013","y_2014","y_2015"
37081010100,66,77,66,51,28
37081010200,164,134,158,222,269
37081010300,84,68,84,60,88
37081010401,63,71,42,46,43
37081010403,90,60,35,39,35
37081010404,95,101,94,135,163
37081010500,91,90,103,108,114
37081010601,152,190,155,181,149
37081010602,25,117,135,179,183
37081010701,64,62,55,40,52
37081010702,17,13,33,11,18
37081010800,67,67,109,100,142
37081010900,102,94,80,95,79
37081011000,6,7,36,61,61
37081011101,105,117,108,156,116
37081011102,69,110,88,122,149
37081011200,23,60,66,81,66
37081011300,65,86,96,88,115
37081011400,62,58,90,85,95
37081011500,84,68,121,120,117
37081011601,57,82,94,129,149
37081011602,50,73,58,57,37
37081011904,153,133,149,115,164
37081011905,131,117,144,122,138
37081012503,167,147,196,202,236
37081012504,155,161,197,197,210
37081012505,124,105,90,83,89
37081012508,272,220,221,223,213
37081012509,100,138,150,128,100
37081012510,120,164,126,163,121
37081012511,115,133,119,119,116
37081012601,190,197,197,189,133
37081012604,141,198,198,206,216
37081012607,98,105,80,127,137
37081012608,94,62,28,47,59
37081012609,360,416,381,385,490
37081012610,170,120,98,123,138
37081012611,75,87,117,122,119
37081012612,117,138,178,255,340
37081012617,140,191,188,172,199
37081012703,176,177,249,210,206
37081012704,91,71,151,216,238
37081012705,234,200,192,173,134
37081012706,101,83,104,67,94
37081012707,58,51,69,107,91
37081012803,166,252,320,353,331
37081012804,219,221,168,180,189
37081012805,143,74,77,85,86
37081013601,93,107,96,108,52
37081013602,202,150,149,125,126
37081013700,121,110,217,205,247
37081013800,92,114,87,116,129
37081013900,140,164,166,197,197
37081014000,272,237,253,220,181
37081014200,94,91,153,183,122
37081014300,46,72,37,42,51
37081014406,55,45,63,128,164
37081014407,331,322,291,404,477
37081014408,20,5,6,21,68
37081014409,88,119,71,118,126
37081014410,87,84,162,106,101
37081014411,170,120,114,199,231
37081014412,113,95,109,133,142
37081014501,0,12,30,60,76
37081014502,148,147,156,108,101
37081014503,90,135,86,97,105
37081015100,254,176,221,280,258
37081015200,417,508,485,560,526
37081015300,390,440,539,504,576
37081015401,239,181,263,268,267
37081015402,296,361,342,389,313
37081015500,341,388,427,432,441
37081015600,479,573,523,525,443
37081015703,354,392,366,321,259
37081015704,433,455,386,322,477
37081015705,260,244,138,88,116
37081015706,345,381,388,400,426
37081015707,263,273,248,309,227
37081015800,237,215,172,351,379
37081015901,366,335,349,422,378
37081015902,127,116,176,207,251
37081016003,190,147,144,199,235
37081016005,95,136,129,114,105
37081016006,140,126,120,116,123
37081016007,162,149,338,436,417
37081016008,276,281,323,324,247
37081016009,224,254,298,300,352
37081016010,103,199,211,204,222
37081016011,200,182,251,192,220
37081016101,371,324,280,300,231
37081016102,196,200,225,257,275
37081016103,106,80,113,172,277
37081016201,326,290,304,353,313
37081016203,289,311,360,376,375
37081016204,232,227,267,242,277
37081016205,151,181,201,227,223
37081016303,165,159,172,244,277
37081016304,177,175,220,163,208
37081016305,177,181,198,163,207
37081016306,471,478,491,365,241
37081016405,100,122,157,116,136
37081016406,213,191,141,164,151
37081016407,258,312,351,350,327
37081016408,63,71,54,47,54
37081016409,293,226,194,224,185
37081016410,410,435,338,309,337
37081016502,224,249,259,281,302
37081016503,168,161,185,344,424
37081016505,248,176,215,198,127
37081016506,306,259,241,228,274
37081016600,132,92,103,198,264
37081016701,237,185,223,245,332
37081016702,180,173,214,214,180
37081016800,403,356,417,381,438
37081016900,442,394,342,308,317
37081017000,316,333,293,327,402
37081017100,371,322,388,486,464
37081017200,294,325,399,476,461
37081980100,0,0,0,0,0
